tail_num,code,description,state
N14120,1807,1807,FL
N14121,754,754,NJ
N14125,2125,2125,MN
N14143,2917,2917,TX
N14148,2208,2208,MO
N14153,2937,2937,CO
N14158,2986,2986,MO
N14162,1,1,TX
N14168,7667,7667,NV
N14171,7664,7664,NV
N14173,7667,7667,NV
N14174,11,11,MO
N14177,7651,7651,OR
N14179,7667,7667,NV
N14180,7651,7651,OR
N14186,1,1,TX
N14188,1,1,TX
N14198,1,1,TX
N14203,1,1,TX
N14204,1,1,TX
N14214,1527,1527,MD
N14219,440,440,TX
N14230,1004,1004,FL
N14231,374,374,CA
N14237,1835,1835,NJ
N14242,150,150,TX
N14250,581,581,OH
N14308,1138,1138,TX
N14320,1850,1850,TX
N14324,1576,1576,CA
N14325,168,168,TX
N14334,1093,1093,OH
N14335,4,4,LA
N14336,1585,1585,TX
N14337,282,282,TX
N14341,684,684,TX
N14342,215,215,TX
N14346,778,778,TX
N14347,246,246,TX
N14358,520,520,TX
N143DA,549,549,UT
N144DA,1566,1566,HI
N14505,2762,2762,OH
N14508,3063,3063,OH
N14514,2795,2795,LA
N14516,2620,2620,KS
N14522,2559,2559,TX
N14542,2409,2409,NJ
N14543,2331,2331,TN
N14562,10,10,CA
N14568,108,108,CA
N14570,7751,7751,CA
N14573,2286,2286,NJ
N14601,191,191,FL
N14604,321,321,OH
N14605,171,171,MN
N14609,351,351,TX
N14613,354,354,NJ
N14628,1514,1514,NJ
N14629,1050,1050,OH
N14639,1477,1477,AZ
N14645,655,655,PA
N14652,1545,1545,OH
N14653,251,251,TX
N14654,1123,1123,MA
N14655,1478,1478,NJ
N14664,1051,1051,FL
N14667,1541,1541,TX
N14668,1414,1414,TX
N14704,1046,1046,TX
N14731,558,558,TX
N14735,1422,1422,LA
N14902,2064,2064,IN
N14904,2216,2216,TX
N14905,2656,2656,TX
N14907,1,1,TX
N14916,2741,2741,KY
N14920,2491,2491,NJ
N14923,2278,2278,TX
N14925,2467,2467,MS
N14930,2814,2814,TN
N14933,2728,2728,OH
N14937,2893,2893,TX
N14938,2830,2830,TX
N14939,2308,2308,TX
N14940,2112,2112,OK
N14942,2457,2457,OH
N14943,3039,3039,NJ
N14945,2498,2498,AL
N14947,2728,2728,OH
N14950,2341,2341,NJ
N14952,2084,2084,CO
N14953,1226,1226,IL
N14959,2591,2591,TX
N14960,2959,2959,NJ
N14972,3134,3134,NJ
