carrier,origin_destination,code,description,tail_num,origin,destination,id,dep_time,distance,aircraft_engine_code,site_number
UA,SFO,100665,100665,N540UA,ORD,SFO,100665,0851,1846,842,14771
UA,SFO,100666,100666,N669UA,ORD,SFO,100666,0811,1846,842,14771
UA,SFO,100667,100667,N669UA,ORD,SFO,100667,0838,1846,842,14771
UA,SFO,100668,100668,N666UA,ORD,SFO,100668,0816,1846,842,14771
UA,SFO,100669,100669,N822UA,ORD,SFO,100669,0824,1846,842,14771
UA,SFO,100670,100670,N809UA,ORD,SFO,100670,0821,1846,842,14771
UA,SFO,100671,100671,N213UA,ORD,SFO,100671,0807,1846,842,14771
UA,SFO,100672,100672,N674UA,ORD,SFO,100672,0810,1846,842,14771
UA,SFO,100673,100673,N669UA,ORD,SFO,100673,0821,1846,842,14771
UA,SFO,100674,100674,N675UA,ORD,SFO,100674,0933,1846,842,14771
NW,DTW,1007,1007,N771NC,ORD,DTW,1007,1010,235,1242,11433
NW,DTW,1008,1008,N771NC,ORD,DTW,1008,1003,235,1242,11433
UA,LGA,100834,100834,N335UA,ORD,LGA,100834,1909,733,850,12953
UA,LGA,100835,100835,N203UA,ORD,LGA,100835,1907,733,850,12953
UA,LGA,100836,100836,,ORD,LGA,100836,,733,850,12953
UA,LGA,100837,100837,,ORD,LGA,100837,,733,850,12953
UA,LGA,100838,100838,N904UA,ORD,LGA,100838,2104,733,850,12953
UA,LGA,100839,100839,N902UA,ORD,LGA,100839,1907,733,850,12953
UA,LGA,100840,100840,,ORD,LGA,100840,,733,850,12953
UA,LGA,100841,100841,N335UA,ORD,LGA,100841,2037,733,850,12953
UA,LGA,100842,100842,,ORD,LGA,100842,,733,850,12953
UA,LGA,100843,100843,N906UA,ORD,LGA,100843,1927,733,850,12953
UA,LGA,100844,100844,N930UA,ORD,LGA,100844,1855,733,850,12953
UA,LGA,100845,100845,N314UA,ORD,LGA,100845,1953,733,850,12953
UA,LGA,100846,100846,N339UA,ORD,LGA,100846,2116,733,850,12953
UA,LGA,100847,100847,N335UA,ORD,LGA,100847,2059,733,850,12953
UA,LGA,100848,100848,N202UA,ORD,LGA,100848,1925,733,850,12953
UA,LGA,100849,100849,N936UA,ORD,LGA,100849,2202,733,850,12953
UA,LGA,100850,100850,N933UA,ORD,LGA,100850,2141,733,850,12953
